"FileName"	"r_cors"	"r_ccors"	"r_outs"	"r_couts"	"g_cors"	"g_ccors"	"g_outs"	"g_couts"
"CDI9059098R_HMN1098196-00001_Young_09222023_0001_A1.gpr"	0.97079548395755	0.994993528436276	41	11	0.871225915691319	0.986419900514923	1	1
"CDI9059099R_HMN688802-00011_Young_09222023_0002_A1.gpr"	0.971945159514664	0.991147327154484	65	14	0.901118154401027	0.987604779743946	2	1
"CDI9059100R_HMN742453-00002_Young_09222023_0003_A1.gpr"	0.971690022718884	0.992324385985778	48	25	0.875950665240024	0.98954195742906	6	0
"CDI9059101R_HMN742467-00002_Young_09222023_0004_A1.gpr"	0.962866865335007	0.990620719007673	172	14	0.891639235079649	0.985410028396558	4	1
"CDI9059102R_HMN742479-00002_Young_09222023_0005_A1.gpr"	0.963884793220417	0.981077776698368	160	41	0.909149159078082	0.983164528078476	9	7
"CDI9059103R_HMN763660-00002_Young_09222023_0006_A1.gpr"	0.967768655581431	0.976843590588181	77	33	0.879183716866724	0.981491951341177	13	10
"CDI9059104R_HMN775050-00002_Young_09222023_0007_A1.gpr"	0.96692276738508	0.976476496575015	110	48	0.876613886463793	0.975109134478737	22	13
"CDI9059105R_HMN775067-00001_Young_09222023_0008_A1.gpr"	0.969145632577013	0.97965917267439	78	45	0.869694384095601	0.983357613878799	12	6
"CDI9059106R_HMN791983-00002_Young_09222023_0009_A1.gpr"	0.963638285187672	0.989497828638671	102	19	0.870450074145691	0.977381118981122	24	5
"CDI9059107R_HMN820800-00002_Young_09222023_0010_A1.gpr"	0.970729589114567	0.995377312296914	42	5	0.882942103353191	0.984229331670193	5	4
"CDI9059108R_HMN833599-00003_Young_09222023_0011_A1.gpr"	0.972894834356154	0.993566078481083	89	14	0.902846720178485	0.986101364958116	2	0
"CDI9059109R_HMN870353-00004_Young_09222023_0012_A1.gpr"	0.972841217786096	0.995926509323477	54	1	0.866087667495265	0.986105052165366	12	0
"CDI9059110R_HMN1096847-00001_Old_09222023_0013_A1.gpr"	0.968153181262078	0.994149844773274	132	14	0.918498352689523	0.982043488479744	8	4
"CDI9059111R_HMN1096848-00001_Old_09222023_0014_A1.gpr"	0.973315067314294	0.995231084568254	51	6	0.874838907038352	0.981408147199095	10	3
"CDI9059112R_HMN1096849-00001_Old_09222023_0015_A1.gpr"	0.963340967549671	0.99380721119735	36	12	0.843136417871153	0.983101177988372	8	0
"CDI9059114R_HMN1096851-00001_Old_09222023_0017_A1.gpr"	0.969776835274511	0.995793216285976	58	3	0.876230272791406	0.982375567839908	7	1
"CDI9059115R_HMN1096852-00001_Old_09222023_0018_A1.gpr"	0.970314934827645	0.995246743867819	40	8	0.866758791304644	0.983608712383698	7	2
"CDI9059116R_HMN1096853-00001_Old_09222023_0019_A1.gpr"	0.968464819468618	0.996252640340342	64	4	0.885755508931072	0.986126457665084	1	0
"CDI9059117R_HMN636469-00027_Old_09222023_0020_A1.gpr"	0.970764847504482	0.9937932861792	119	12	0.890263218321905	0.987569458004218	13	1
"CDI9059118R_HMN676715-00005_Old_09222023_0021_A1.gpr"	0.971962624658573	0.993269550128416	66	15	0.895175246767727	0.983315565816803	9	3
"CDI9059119R_HMN774785-00002_Old_09222023_0022_A1.gpr"	0.967088339142802	0.9926149675896	104	25	0.888914439405449	0.981012041188807	10	2
"CDI9059120R_HMN804630-00001_Old_09222023_0023_A1.gpr"	0.972354130977431	0.994368035025216	45	10	0.876955944992672	0.985103504848328	8	1
"CDI9059121R_HMN846402-00016_Old_09222023_0024_A1.gpr"	0.961670261490793	0.991662627220097	144	19	0.902449443288211	0.985274219863016	5	2
